Directories,First,Second,Third
file:/Users/nevermoar/Documents/mallet-2.0.8/sample-data/web/en/internetexplorer.txt,"(12, 88.2227944)","(13, 10.5073128)","(10, 0.654197)"
file:/Users/nevermoar/Documents/mallet-2.0.8/sample-data/web/en/greycourtschool.txt,"(9, 42.8899011)","(8, 33.2493179)","(17, 17.648497199999998)"
file:/Users/nevermoar/Documents/mallet-2.0.8/sample-data/web/en/blackpantherparty.txt,"(3, 39.560991099999995)","(17, 25.913248199999998)","(5, 14.1801115)"
file:/Users/nevermoar/Documents/mallet-2.0.8/sample-data/web/en/benaffleck.txt,"(18, 41.0499126)","(17, 35.1088377)","(3, 11.0004709)"
file:/Users/nevermoar/Documents/mallet-2.0.8/sample-data/web/en/generalpractitioner.txt,"(9, 71.1931573)","(13, 13.1197327)","(10, 8.447626099999999)"
file:/Users/nevermoar/Documents/mallet-2.0.8/sample-data/web/en/dell.txt,"(13, 65.91095580000001)","(12, 20.706967000000002)","(17, 4.7213093)"
file:/Users/nevermoar/Documents/mallet-2.0.8/sample-data/web/en/wadiinternationaluni.txt,"(9, 80.7280001)","(7, 11.695310899999999)","(5, 4.8980754)"
file:/Users/nevermoar/Documents/mallet-2.0.8/sample-data/web/en/phantomville.txt,"(18, 30.9937322)","(17, 23.0867476)","(19, 19.7340715)"
file:/Users/nevermoar/Documents/mallet-2.0.8/sample-data/web/en/indianrunnerduck.txt,"(6, 32.257761200000004)","(15, 20.9350017)","(17, 10.5628054)"
file:/Users/nevermoar/Documents/mallet-2.0.8/sample-data/web/en/theamazingrace16.txt,"(1, 46.5523506)","(0, 14.9325027)","(17, 11.050563100000002)"
file:/Users/nevermoar/Documents/mallet-2.0.8/sample-data/web/en/specialvisceralaffer.txt,"(15, 84.0962732)","(17, 10.3459176)","(10, 2.7615544)"
file:/Users/nevermoar/Documents/mallet-2.0.8/sample-data/web/en/roxascapiz.txt,"(8, 63.6622769)","(9, 8.6916541)","(6, 6.9180986)"
file:/Users/nevermoar/Documents/mallet-2.0.8/sample-data/web/en/unityindiversity.txt,"(19, 41.5684055)","(10, 26.008741)","(6, 20.1216293)"
file:/Users/nevermoar/Documents/mallet-2.0.8/sample-data/web/en/whitenoise.txt,"(2, 86.4530518)","(10, 5.1841926)","(15, 3.2346081)"
file:/Users/nevermoar/Documents/mallet-2.0.8/sample-data/web/en/japanesemobilephonec.txt,"(12, 57.7091813)","(18, 13.1909784)","(10, 10.8148087)"
file:/Users/nevermoar/Documents/mallet-2.0.8/sample-data/web/en/tcl.txt,"(12, 80.3587043)","(2, 8.269146)","(10, 7.3330355)"
file:/Users/nevermoar/Documents/mallet-2.0.8/sample-data/web/en/standrewscollegegrah.txt,"(17, 30.459609500000003)","(9, 30.147131599999998)","(8, 28.724259099999998)"
file:/Users/nevermoar/Documents/mallet-2.0.8/sample-data/web/en/londonwaterloostatio.txt,"(11, 67.9630288)","(8, 18.119144300000002)","(5, 4.5019492)"
file:/Users/nevermoar/Documents/mallet-2.0.8/sample-data/web/en/sensoryprocessingsen.txt,"(15, 50.22449100000001)","(10, 48.926938199999995)","(2, 0.3897729)"
file:/Users/nevermoar/Documents/mallet-2.0.8/sample-data/web/en/listofyoungestbirthm.txt,"(0, 43.585254)","(17, 37.707139299999994)","(6, 5.2382455000000006)"
file:/Users/nevermoar/Documents/mallet-2.0.8/sample-data/web/en/medicalschool.txt,"(9, 88.0771081)","(6, 3.2137625000000005)","(10, 3.0921389)"
file:/Users/nevermoar/Documents/mallet-2.0.8/sample-data/web/en/djent.txt,"(14, 57.702356300000005)","(10, 22.371512900000003)","(18, 4.7836545)"
file:/Users/nevermoar/Documents/mallet-2.0.8/sample-data/web/en/organizationalchart.txt,"(10, 37.681009599999996)","(2, 16.0267565)","(14, 15.4981697)"
file:/Users/nevermoar/Documents/mallet-2.0.8/sample-data/web/en/perfume.txt,"(15, 73.8195528)","(10, 9.4258049)","(6, 4.56396)"
file:/Users/nevermoar/Documents/mallet-2.0.8/sample-data/web/en/poles.txt,"(7, 47.414103000000004)","(6, 29.250201999999998)","(10, 4.7357412000000005)"
file:/Users/nevermoar/Documents/mallet-2.0.8/sample-data/web/en/londonboroughofredbr.txt,"(8, 95.33109859999999)","(9, 1.9065348999999998)","(18, 1.2728098)"
file:/Users/nevermoar/Documents/mallet-2.0.8/sample-data/web/en/facultyofhomeopathy.txt,"(9, 63.4461232)","(15, 28.4210199)","(10, 4.9198935)"
file:/Users/nevermoar/Documents/mallet-2.0.8/sample-data/web/en/amaroksoftware.txt,"(12, 81.9409789)","(14, 14.6925654)","(10, 1.6299175999999997)"
